"ticket_number";"issue_date";"issue_time";"rp_state_plate";"plate_expiry";"make";"body_style";"color";"location";"latitude";"longitude";"violation_code";"fine_amount"
1107539823;"2015-09-16";2120;"";"";"";"";"";"BLAINE/11TH PL";34.0451907;-118.27164;"";50.0
1107539834;"2015-09-16";1045;"";"";"";"";"";"1246 S FIGUEROA ST";33.7868755;-118.2805788;"";93.0
1107780811;"2015-12-22";1102;"";"";"";"";"";"PLATA/RAMPART";34.0738074;-118.2741041;"";73.0
1107780822;"2015-12-22";1105;"";"";"";"";"";"";99999.0;99999.0;"";73.0
1107973985;"2015-12-18";1920;"";"";"";"";"";"VICAR/CASTLE HEIGHTS";34.03352960000001;-118.3989819;"";50.0
1107973996;"2015-12-18";1930;"";"";"";"";"";"REGENT ST/IVY ST";34.0320153;-118.3882112;"";50.0
1107978852;"2015-12-18";1900;"";"";"";"";"";"1707 GLENDON AV";34.0518341;-118.4377645;"";50.0
1108311002;"2015-12-22";140;"";"";"";"";"";"12113 BURBANK BL";34.1725659;-118.3970313;"";25.0
1108311013;"2015-12-22";150;"";"";"";"";"";"6936 AGNES AV";34.1969935;-118.3951145;"";25.0
1108311024;"2015-12-22";205;"";"";"";"";"";"12036 SATICOY ST";34.2079956;-118.3958737;"";25.0
1108311035;"2015-12-22";200;"";"";"";"";"";"7466 LAUREL CYN BL";34.206592;-118.3960402;"";25.0
1108311046;"2015-12-22";225;"";"";"";"";"";"BURBANK BL/COLFAX AV";34.1639921;-118.3877821;"";25.0
1108311050;"2015-12-22";510;"";"";"";"";"";"11411 DONA PEGITA DR";34.1312494;-118.3790946;"";25.0
1108319494;"2015-12-22";135;"";"";"";"";"";"12355 BURBANK BL";34.1724275;-118.4025385;"";25.0
1108321701;"2015-12-21";926;"";"";"";"";"";"5741 FLUTCHER AVE";34.175112;-118.3732999;"";50.0
1108321712;"2015-12-21";935;"";"";"";"";"";"5611 FLUTCHER AVE";34.1726672;-118.3733008;"";50.0
1108321723;"2015-12-21";1041;"";"";"";"";"";"10635 FRIAR ST";34.1860281;-118.3627965;"";93.0
1108321734;"2015-12-21";1058;"";"";"";"";"";"WELBY WAY/VANOWEN ST";34.1937994;-118.3732149;"";50.0
1108347984;"2015-12-09";1250;"";"";"";"";"";"GRAND AVE/57TH ST";33.9905726;-118.279989;"";50.0
1108347995;"2015-12-09";1300;"";"";"";"";"";"48TH ST/GRAND AVE";33.9992338;-118.2803769;"";50.0
1109056185;"2015-12-28";1938;"";"";"";"";"";"100 S HARPER AV";34.0741407;-118.3686661;"";63.0
1109056196;"2015-12-28";1942;"";"";"";"";"";"100 S HARPER";34.0741407;-118.3686661;"";63.0
1109056200;"2015-12-28";1951;"";"";"";"";"";"8372 W 3RD ST";34.072822;-118.372511;"";63.0
1109056211;"2015-12-28";1953;"";"";"";"";"";"1005 ORLANDO";34.0590617;-118.3739407;"";63.0
1109056222;"2015-12-28";1955;"";"";"";"";"";"100 S ORLANDO";34.07436330000001;-118.372837;"";63.0
1109139006;"2015-12-19";1550;"";"";"";"";"";"14006 RIVERSIDE DR";34.1571414;-118.4373027;"";363.0
1109455266;"2015-12-26";1815;"";"";"";"";"";"3200 CANYON DR";34.1272331;-118.3111158;"";68.0
1109455270;"2015-12-27";1815;"";"";"";"";"";"3200 CANYON DR";34.1272331;-118.3111158;"";68.0
1109455745;"2015-12-23";2140;"";"";"";"";"";"835 N ACADEMY RD";34.079787;-118.2353889;"";68.0
1109455970;"2015-12-26";2240;"";"";"";"";"";"3787 MARATHON";34.0840097;-118.2829452;"";68.0
1109484191;"2015-12-16";100;"";"";"";"";"";"TOBERMAN N/O 18TH ST";34.0392096;-118.2788365;"";50.0
1109484202;"2015-12-16";135;"";"";"";"";"";"TOBERMAN/17TH ST";34.0397422;-118.2780299;"";50.0
1109484213;"2015-12-21";310;"";"";"";"";"";"UNION AV/17TH ST";34.0405608;-118.279829;"";50.0
1109486545;"2015-12-16";1245;"";"";"";"";"";"2504 JAMES M WOOD";34.0551969;-118.2834223;"";93.0
1109486792;"2015-12-16";1435;"";"";"";"";"";"VENDOME/MARATHON";34.0810441;-118.2762759;"";50.0
1109704923;"2015-12-28";845;"";"";"";"";"";"1606 N LAUREL AV";34.1002379;-118.3636966;"";73.0
1109704934;"2015-12-28";847;"";"";"";"";"";"1620 N LAUREL AV";34.1005408;-118.3643138;"";73.0
1109704945;"2015-12-28";848;"";"";"";"";"";"1624 N LAUREL AV";34.1005701;-118.3643139;"";73.0
1109810450;"2015-12-23";2304;"";"";"";"";"";"2551 MOTOR";34.0549076;-118.242643;"";68.0
1109811360;"2015-12-26";2231;"";"";"";"";"";"1141 EAGLE VISTA DR";34.1430276;-118.1891426;"";68.0
1109812060;"2015-12-22";2306;"";"";"";"";"";"12467 OSBORNE ST";34.25946740000001;-118.405446;"";68.0
1109818625;"2015-12-27";2235;"";"";"";"";"";"2551 MOTOR AVE";34.04679;-118.4084493;"";68.0
1109926252;"2015-12-18";738;"";"";"";"";"";"CATTARAUGUS AVE/HOLT";34.0333016;-118.3838654;"";50.0
1109926263;"2015-12-18";2015;"";"";"";"";"";"CASTLE HGTS AV/VICAR";34.0337028;-118.3995924;"";50.0
1109926274;"2015-12-18";2020;"";"";"";"";"";"3258 CASTLE HEIGHTS";34.0318918;-118.3993651;"";50.0
1110078550;"2015-12-18";2334;"";"";"";"";"";"1937 GREENFIELD AV";34.0450048;-118.4384965;"";50.0
1110078561;"2015-12-19";215;"";"";"";"";"";"IOWA/FEDERAL";34.0549076;-118.242643;"";50.0
1110245776;"2015-12-16";200;"";"";"";"";"";"IMPERIAL/LA CIENEGA";33.9310031;-118.3699657;"";63.0
1110245780;"2015-12-16";240;"";"";"";"";"";"AVIATION/IMPERIAL";33.9309784;-118.3784498;"";93.0
1110245791;"2015-12-21";815;"";"";"";"";"";"SEPULVEDA/VENICE S/O";34.01376;-118.4178;"";63.0
1110245802;"2015-12-21";1335;"";"";"";"";"";"IMPERIAL/LA CIENEGA";33.9310031;-118.3699657;"";93.0
1110265251;"2015-12-16";1340;"";"";"";"";"";"ORION AVE/SHERMAN WY";34.2011066;-118.5005659;"";25.0
1110265262;"2015-12-16";1455;"";"";"";"";"";"COLUMBUS S/O GRAHAM";34.0549076;-118.242643;"";50.0
1110265273;"2015-12-16";1500;"";"";"";"";"";"COLUMBUS AVE/GRESHAM";34.2309419;-118.4655997;"";50.0
1110265284;"2015-12-18";1100;"";"";"";"";"";"SEPULVEDA BL/COVELLO";34.2075459;-118.4771372;"";50.0
1110292982;"2015-09-16";2115;"";"";"";"";"";"BLAINE/11TH PL";34.0451907;-118.27164;"";50.0
1110292993;"2015-09-16";2130;"";"";"";"";"";"BLAINE/11TH PL";34.0451907;-118.27164;"";50.0
1110297521;"2015-09-14";1905;"";"";"";"";"";"SUNBURY/JAMES M WOOD";34.0483562;-118.2676459;"";93.0
1110297532;"2015-09-14";2142;"";"";"";"";"";"800 W OLYMPIC BL";34.0447954;-118.2652703;"";93.0
1110299315;"2015-09-14";1920;"";"";"";"";"";"GEORGIA/17TH ST";34.0372898;-118.2726437;"";50.0
1110299536;"2015-09-14";1810;"";"";"";"";"";"11TH E/O";33.7923712;-118.2508776;"";50.0
1110299540;"2015-09-14";224;"";"";"";"";"";"FIGUEROA N/O VENICE";34.0228295;-118.3264449;"";50.0
1110299551;"2015-09-14";2245;"";"";"";"";"";"FIGUEROA N/O VENICE";34.0228295;-118.3264449;"";50.0
1110299562;"2015-09-14";2305;"";"";"";"";"";"HOPE S/O 11TH ST";34.0516153;-118.26658;"";25.0
1111259715;"2015-12-26";1920;"";"";"";"";"";"501 S VENICE BLVD";33.9875381;-118.4653645;"";68.0
1111881573;"2015-12-23";2150;"";"";"";"";"";"380 WORLD WAY U/L";33.9433991;-118.4084278;"";58.0
1111884071;"2015-12-12";922;"";"";"";"";"";"7610 WOODLEY AVE";34.20993;-118.4819101;"";50.0
1111884082;"2015-12-12";930;"";"";"";"";"";"7610 WOODLEY AVE";34.20993;-118.4819101;"";50.0
1111884093;"2015-12-12";938;"";"";"";"";"";"7610 WOODLEY AVE/G";34.20993;-118.4819101;"";50.0
1111884104;"2015-12-18";1130;"";"";"";"";"";"7610 WOODLEY AVE 1E";34.20993;-118.4819101;"";50.0
1111884115;"2015-12-19";1130;"";"";"";"";"";"7610 WOODLEY AVE/B";34.20993;-118.4819101;"";50.0
1111884126;"2015-12-19";1153;"";"";"";"";"";"7610 WOODLEY AVE 2A";34.20993;-118.4819101;"";50.0
1111884130;"2015-12-19";1200;"";"";"";"";"";"7610 WOODLEY AVE";34.20993;-118.4819101;"";50.0
1111927504;"2015-12-11";1141;"";"";"";"";"";"7610 WOODLEY AVE/2B";34.20993;-118.4819101;"";50.0
1111927515;"2015-12-21";935;"";"";"";"";"";"7610 WOODLEY AVE 4C";34.20993;-118.4819101;"";50.0
1111927526;"2015-12-21";1000;"";"";"";"";"";"7610 WOODLEY AVE";34.20993;-118.4819101;"";50.0
1111927530;"2015-12-21";1035;"";"";"";"";"";"7610 WOODLEY AVE 4B";34.20993;-118.4819101;"";58.0
1111967183;"2015-12-22";305;"";"";"";"";"";"700 WORLD WAY L/L";33.942886;-118.3998513;"";58.0
1111967194;"2015-12-22";310;"";"";"";"";"";"700 WORLD WAY L/L";33.942886;-118.3998513;"";68.0
1111967205;"2015-12-28";125;"";"";"";"";"";"500 WORLD WAY U/L";33.941955;-118.4069776;"";58.0
1111979492;"2015-12-16";1015;"";"";"";"";"";"500 WORLD WAY L/L";33.941955;-118.4069776;"";58.0
1111986724;"2015-12-23";1515;"";"";"";"";"";"300 WORLD WAY";33.9450933;-118.4063312;"";363.0
